italiano,traduzione
acqua,aiva
adesso,ourà
andare,alé
aprire,druvì
asino,àsou
bambina,fiyëtta
bastone,batoun
bere,beire
bicchiere,bitchér
blu,bioy
bocca,boutchi
bottiglia,boùtta
buono,boun
burro,bieurou
cadere,tsey
campo,tchamp
candela,tchandeili
cane,tchin
cantare,tsenté
canzone,tchanhoun
capelli,tzevèy
cappello,tchapel
capra,tchévra
casa,meizoun
cercare,hèrqué
chiamare,tchamé
chiaro,quiaire
chiave,tià
chiesa,djezia
cinque,hinch
cintura,coureya
coda,panah
coltello,coutél
comprare,tseté
con,coun
contento,counteunt
coprire,cruvì
corvo,courbah
cosa,tzosa
così,ninsi
cucchiaio,cuyeri
cucina,cusìnna
cuocere,coire
dare,douné
davanti,dveùn
denti,deuns
dentro,andìns
dietro,dapré
dito,dey
dolce,douh
domani,mmeun
donna,fumèla
dopo,pré
dopodomani,passà mmeun
dormire,drumì
dove,ndoua
due,deuy
entrare,intré
estate,istà
fabbro,fré
fagiolo,feizeul
falce,day
fame,fam
fare,fare
festa,feta
figlia,fiyi
filo,fi
fiori,fiou
fischiare,subié
foglie,foyi
fontana,batchàss
forbici,tesouire
formica,freumia
forno,foueurn
fragola,fraza
fratello,frère
freddo,freut
fuggire,fure
fulmine,troun
fungo,bouley
fuoco,feu
gallina,dzarineu
gallo,dzal
gamba,tzamba
gatto,tchàt
gettare,tapé
ghiaccio,diah
giacca,djaca
giallo,djàoun
ginocchio,dzenouy
giocare,djué
giornale,dzournal
giorno,djouërn
giovane,djoun
giù,dzù
grosso,grò
guardare,buqué
ieri,er
insieme,nsèma
inverno,invèrn
lago,lài
lasciare,leisé
latte,lait
lepre,lévra
lingua,lénga
lontano,lougn
lumaca,lumahi
lupo,lou
mancare,meunqué
mandare,meundé
mangiare,mindjà
mano,meun
meglio,mèy
mela,poum
meno,menou
merlo,mèrlou
minestra,meneta
mollica,moulèya
mosca,moutsi
mulo,mul
muro,murayi
nascere,nàise
naso,nàss
nero,neiri
nessuno,gnun
niente,pareun
nipote,nevout
nocciola,ninsola
noce,nòizi
nonno,nònou
notte,nòit
nove,neuou
occhi,jouèi
oggi,ntchouèy
ora,oure
orecchie,ourieus
otto,eut
padre,pare
padrone,padroun
paese,payì
paglia,pài
pantaloni,brayoùn
parlare,descoure
patate,trifoule
paura,peuy
pecora,bérou
pentola,péila
pettine,pègnou
piangere,piouré
piatti,piàt
piazza,piahi
piccolo,tchitou
pietra,roch
piovere,pìoure
poi,pré
polenta,poulénta
pollice,podjou
porta,uss
povero,poourou
prendere,breunque
presto,bounoura
prete,préve
prima,dveùn
prosciutto,dzamboùn
qua,anhay
qualcosa,quentsoza
qualcuno,queycun
quando,queunte
quanto,vairou
quattro,catr
quello,queun
ragazzo,boutchah
rosso,rouss
ruota,roua
salire,mounté
sapere,savey
scarpa,tsaoufé
scemo,fol
scendere,calé
schiena,eitchineu
scrivere,scrire
scuola,eicola
scuro,eicur
sedia,careyi
sei,ses
sete,sèy
sette,sèt
settimana,smana
sicuro,fis
sogno,soudzou
sole,souley
sopra,dzoure
sordo,tchorgn
sorella,sueura
sotto,dzot
specchio,espetch
spesso,souveun
stanza,steunhia
stesso,jistèss
strada,vieu
su,anaou
suocera,madòna
suocero,messé
sì,oy
tanto,teun
tasca,tsacotsi
tavolo,taou
tempo,ten
tenere,tinì
testa,teta
topo,rat
tornare,tourné
tovaglia,touvàii
tre,trèi
ubriaco,tchouc
uguale,hel
unghia,oundia
uno,un
uomo,om
uovo,eus
uscire,sayi
vacca,vàttchi
vecchio,vèyi
vedere,stchairé
veloce,lest
verde,veurt
vespa,guepa
vetro,veirou
vicino,dapé
vivere,vive
voce,vous
volpe,voueurp
zaino,jainou
zampa,piota
zia,màgna
zio,bàrba
zoppo,hop
zucca,coussa
zucchero,hucre
