Italian Sentence,Bresciano Sentence
Bisogna bere di meno,Boa beèr de meno
Persona di scarsa personalità e serietà,Testa d'aglio
Che palle,Che bala
Ballare il tango è difficile,Balla de fé l'é difficil
Vado a casa,Me 'ndó a ca'
Mi ha fregato,El m'a encülàt
Abbracciare qualcuno,Brasà sö
Come stai?,Com'a 't sté?
Non è giusto,L'é mia giüst
Ti vedo triste,Te vedi trïst
Abbiamo bisogno di aiuto,Besogna de aiüt
Un altro giorno,Un'ótra dì
Mi piace molto il cibo italiano,Ame 'l cibo italìan
Questa città è bella,Stà cità l'é bèl
Non voglio parlare di questo,Mi 'n vöri mia parlà de chèl
Che caldo oggi!,Che calt encö!
Devo andare al lavoro,Gó de na al laor
Che cosa stai facendo?,Còsa 't stai fànd?
Domani è un altro giorno,Domà l'é 'n'ótra dì
Il cielo è azzurro,El cél l'é azùr
Mi piace il gelato,Ame 'l gelàt
Quante ore ci vanno?,Quante óre ghe vó?
Non capisco bene,Mi capìs mia ben
Ti trovo simpatico,Te vedi simpàtic
Voglio dormire,Vöri durmìr
È tardi,L'é tärd
Ci vediamo dopo,Amò turna dòpo
Mi sento stanco,Me sento stanco
Ho bisogno di una pausa,Gó besogna de 'na pausa
Mi piacciono i tuoi occhi,Ame i tò öc
Quanti anni hai?,Quanti an ghè?
Com'è andata la giornata?,Com'a l'é 'ndada la dì?
Ho fame,Gó fam
Fa freddo oggi,Fa frèt encö
Mi piace leggere,Ame lèzer
Siamo pronti,Sèm pront
Come va il lavoro?,Com'a 'l va 'l laor?
Che sorpresa!,Che sorpresa!
Non riesco a farlo,Mi 'n riesc mia a fàrlo
È una bella giornata,L'é 'na bèl dì
Stai attento!,Stà atènt!
Abbiamo finito il lavoro,Avém finìt 'l laor
Puoi aiutarmi?,Pödet mì aiutàr?
Non è il momento giusto,L'é mia 'l moment giüst
Vado al supermercato,Me 'ndó al supermercàt
Non voglio uscire,Mi 'n vöri mia 'ndà
Questa casa è grande,Sta cà l'é grant
Ti porto un caffè,Te 'n pòrto 'n caffè
Mi piacerebbe venire,Ame 'rèss vègnir
